zone,p_coral_cv,geometry,cover_cat
Lagoon,0% - <10%,"list(list(c(823389.503479006, 823386.344116212, 823385.554077149, 823383.184692383, 823382.394897461, 823381.605102539, 823381.605102539, 823380.025329589, 823369.757324218, 823359.489501955, 823343.692687988, 823325.526306153, 823308.14971924, 823289.983276367, 823272.606872559, 823260.759277344, 823248.121887209, 823239.43347168, 823229.165527344, 823223.636718751, 823222.846923828, 823222.846923828, 823222.846923828, 823224.426513673, 823240.223327637, 823248.911682128, 823259.969468116, 823263.476668916, 
823273.082238987, 823281.186861488, 823286.890068581, 823296.302124024, 823311.309082031, 823331.845092773, 823347.641906739, 823374.496520997, 823379.235473635, 823385.554077149, 823393.452697754, 823393.452697754, 823396.611877442, 823409.249511721, 823421.097106934, 823430.575073242, 823456.639892579, 823480.335083007, 823502.450683594, 823519.037475587, 823547.471679688, 823576.695922852, 823594.07232666, 823613.028503418, 823624.876281738, 823639.093322755, 823660.419128419, 823662.788513184, 
823656.469909668, 823648.571289063, 823643.832275391, 823639.093322755, 823639.883117677, 823642.252685547, 823646.201904297, 823646.99169922, 823646.99169922, 823643.832275391, 823625.66607666, 823609.869079591, 823588.543518067, 823560.899108889, 823529.305297852, 823502.450683594, 823481.12512207, 823460.589111327, 823436.104125977, 823425.046325685, 823417.937683106, 823404.510498047, 823394.242492676, 823389.503479006, 651199.089294434, 651213.306518557, 651233.052490236, 651264.646118164, 651296.239929199, 
651326.25390625, 651345.99987793, 651364.166320803, 651372.064697266, 651369.695129396, 651361.006896973, 651347.57952881, 651338.101501465, 651334.942077637, 651334.942077637, 651334.942077637, 651340.47088623, 651346.789672852, 651359.427124025, 651372.064697266, 651382.332519535, 651393.390319828, 651398.129272463, 651404.448120115, 651405.237915039, 651409.977111818, 651410.766896222, 651416.055500489, 651416.956105653, 651417.256276857, 651417.556493837, 651417.085693361, 651423.404296879, 651426.563720703, 
651427.353515625, 651432.882507328, 651440.780883791, 651440.780883791, 651435.25189209, 651421.034912111, 651417.085693361, 651418.665283205, 651427.353515625, 651439.991088869, 651456.577697754, 651462.896484379, 651469.215087891, 651479.483093262, 651480.272888184, 651485.011901857, 651485.011901857, 651470.004882812, 651454.997924807, 651436.831726074, 651406.81768799, 651383.912292482, 651364.956115725, 651342.840515139, 651330.992919922, 651318.355285645, 651300.97888184, 651284.392272951, 
651267.805480959, 651237.791687012, 651211.726684572, 651184.872070312, 651157.227722168, 651139.851318363, 651120.105285645, 651105.098083498, 651102.728698732, 651103.518493654, 651109.837280273, 651112.996704103, 651131.163085938, 651145.380126953, 651159.597290041, 651173.024475098, 651188.031677248, 651199.089294434)))",1
Lagoon,0% - <10%,"list(list(c(825270.284953825, 825253.748462415, 825241.346093861, 825222.742541032, 825215.507826039, 825213.440764612, 825212.407233903, 825212.407233903, 825227.910194593, 825268.217892395, 825276.4861381, 825276.4861381, 825280.620260949, 825281.65379166, 825270.284953825, 651118.497115424, 651116.430053996, 651117.46358471, 651128.832422554, 651142.268321821, 651168.106589641, 651188.777203899, 651200.146041743, 651217.716063855, 651214.615471719, 651190.844265325, 651166.039528219, 651146.40244467, 
651128.832422554, 651118.497115424)))",1
