title,year_published
"Sandin, S.A., J.E. Smith, E.E. DeMartini, E.A. Dinsdale, S.D. Donner, A.M. Friedlander, T. Konotchick, M. Malay, J.E. Maragos, D. Obura, O. Pantos, G. Paulay, M. Richie, F. Rohwer, R.E. Schroeder, S. Walsh, J.B.C. Jackson, N. Knowlton and E. Sala 2008. Baselines and degradation of coral reefs in the northern Line Islands. PLoS ONE 3(2): e1548 (11 pgs). {PARC-0016}",2008
"Williams, G.J., G.S. Aeby and S.K. Davy 2008. Coral disease at Palmyra Atoll, a remote reef system in the Central Pacific. Coral Reefs. 27:207. {PARC-0017}",2008
"Williams, G.J., J.E. Maragos and S.K. Davy 2008. Characterization of the coral communities at Palmyra Atoll in the remote Central Pacific Ocean. Atoll Research Bulletin. 557:1-30. {PARC-0018}",2008
"Work, T.M., G.S. Aeby and J.E. Maragos 2008. Phase shift from a coral to a corallimorph-dominated reef associated with a shipwreck on Palmyra Atoll. PLoS ONE 3(8):e2989 (5 pgs). {PARC-0019}",2008
"Bauer, A. M., S.A. Hathaway and R.N. Fisher 2009. Polydactyly in the Central Pacific Gecko, Lepidodactylus sp. (Squamata: Gekkonidae). Herpetology Notes 2: 243-246. {PARC-0020}",2009
"Baumann-Pickering, S. 2009. Species identification and measurement of activity in Odontocete species of Palmyra Atoll by acoustic monitoring. Doctor rerum naturalium. (equivalent to Ph.D.) Dissertation. Eberhard-Karls Universitat, Tubingen, Germany. 100 pgs. {PARC-0021}",2009
"Brownell R.L., K. Ralls, S. Baumann-Pickering and M.M. Poole 2009. Behavior of melon-headed whales, Peponocephala electra, near oceanic islands. Marine Mammal Science 25:639-658. {PARC-0022}",2009
"Charles, C. and S. A. Sandin 2009. Line Islands. In: R.G. Gillespie and D.A. Clague (Eds) The Encyclopedia of Islands, University of California Press, pp. 553-558. {PARC-0023}",2009
"Collen, J.D., J.P.A. Gardner and D.W. Garton 2009. Application of the littoral cell concept to managing a protected atoll: Palmyra Atoll National Wildlife Reserve. Ocean and Coastal Management 52: 628-635. {PARC-0024}",2009
"Collen, J.D., D.W. Garton and J.P.A. Gardner 2009. Shoreline changes and natural sediment redistribution at Palmyra Atoll (Equatorial Pacific Ocean): 1874-present. Journal of Coastal Research 25: 711-722. {PARC-0025}",2009
"Oliver, T.A., S.R. Palumbi 2009. Distributions of stress-resistant coral symbionts match environmental patterns at local but not regional scales. Marine Ecology Progress Series 378:93-103. {PARC-0026}",2009
"Madin, E.M.P. 2009. Cascading behavioral effects of fishing on coral reefs. Ph.D. Dissertation. University of California, Santa Barbara. 109 pp. {PARC-0027}",2009
"Papastamatiou, Y.P., J.E. Caselle, A.M. Friedlander and C.G. Lowe 2009. Distribution, size frequency, and sex ratios of blacktip reef sharks Carcharhinus melanopterus at Palmyra Atoll: a predator-dominated ecosystem. Journal of Fish Biology 75:647-654. {PARC-0028}",2009
"Papastamatiou, Y., C.G. Lowe, J.E. Caselle and A.M. Friedlander 2009. Scale-dependent effects of habitat on movements and path structure of reef sharks at a predator-dominated ecosystem. Ecology 90(4):996-1008. {PARC-0029}",2009
