obs_id,year,wk,wk_avg_temp
1,1998,1,27.728571428571428
2,1998,1,27.728571428571428
3,1998,1,27.728571428571428
4,1998,1,27.728571428571428
5,1998,1,27.728571428571428
6,1998,1,27.728571428571428
7,1998,1,27.728571428571428
8,1998,2,28.285714285714285
9,1998,2,28.285714285714285
10,1998,2,28.285714285714285
11,1998,2,28.285714285714285
12,1998,2,28.285714285714285
13,1998,2,28.285714285714285
14,1998,2,28.285714285714285
15,1998,3,28.02857142857143
16,1998,3,28.02857142857143
17,1998,3,28.02857142857143
18,1998,3,28.02857142857143
19,1998,3,28.02857142857143
20,1998,3,28.02857142857143
21,1998,3,28.02857142857143
22,1998,4,28.264285714285716
23,1998,4,28.264285714285716
24,1998,4,28.264285714285716
25,1998,4,28.264285714285716
26,1998,4,28.264285714285716
27,1998,4,28.264285714285716
28,1998,4,28.264285714285716
29,1998,5,28.285714285714285
30,1998,5,28.285714285714285
31,1998,5,28.285714285714285
32,1998,5,28.285714285714285
33,1998,5,28.285714285714285
34,1998,5,28.285714285714285
35,1998,5,28.285714285714285
36,1998,6,28.2
37,1998,6,28.2
38,1998,6,28.2
39,1998,6,28.2
40,1998,6,28.2
41,1998,6,28.2
42,1998,6,28.2
43,1998,7,28.02857142857143
44,1998,7,28.02857142857143
45,1998,7,28.02857142857143
46,1998,7,28.02857142857143
47,1998,7,28.02857142857143
48,1998,7,28.02857142857143
49,1998,7,28.02857142857143
50,1998,8,27.87857142857143
51,1998,8,27.87857142857143
52,1998,8,27.87857142857143
53,1998,8,27.87857142857143
54,1998,8,27.87857142857143
55,1998,8,27.87857142857143
56,1998,8,27.87857142857143
57,1998,9,28.22142857142857
58,1998,9,28.22142857142857
59,1998,9,28.22142857142857
60,1998,9,28.22142857142857
61,1998,9,28.22142857142857
62,1998,9,28.22142857142857
63,1998,9,28.22142857142857
64,1998,10,28.307142857142857
65,1998,10,28.307142857142857
66,1998,10,28.307142857142857
67,1998,10,28.307142857142857
68,1998,10,28.307142857142857
69,1998,10,28.307142857142857
70,1998,10,28.307142857142857
71,1998,11,28.35
72,1998,11,28.35
73,1998,11,28.35
74,1998,11,28.35
75,1998,11,28.35
76,1998,11,28.35
77,1998,11,28.35
78,1998,12,28.135714285714286
79,1998,12,28.135714285714286
80,1998,12,28.135714285714286
81,1998,12,28.135714285714286
82,1998,12,28.135714285714286
83,1998,12,28.135714285714286
84,1998,12,28.135714285714286
85,1998,13,27.9
86,1998,13,27.9
87,1998,13,27.9
88,1998,13,27.9
89,1998,13,27.9
90,1998,13,27.9
91,1998,13,27.9
92,1998,14,27.771428571428572
93,1998,14,27.771428571428572
94,1998,14,27.771428571428572
95,1998,14,27.771428571428572
96,1998,14,27.771428571428572
97,1998,14,27.771428571428572
98,1998,14,27.771428571428572
99,1998,15,27.835714285714285
100,1998,15,27.835714285714285
101,1998,15,27.835714285714285
102,1998,15,27.835714285714285
103,1998,15,27.835714285714285
104,1998,15,27.835714285714285
105,1998,15,27.835714285714285
106,1998,16,27.857142857142858
107,1998,16,27.857142857142858
108,1998,16,27.857142857142858
109,1998,16,27.857142857142858
110,1998,16,27.857142857142858
111,1998,16,27.857142857142858
112,1998,16,27.857142857142858
113,1998,17,28.071428571428573
114,1998,17,28.071428571428573
115,1998,17,28.071428571428573
116,1998,17,28.071428571428573
117,1998,17,28.071428571428573
118,1998,17,28.071428571428573
119,1998,17,28.071428571428573
120,1998,18,27.792857142857144
121,1998,18,27.792857142857144
122,1998,18,27.792857142857144
123,1998,18,27.792857142857144
124,1998,18,27.792857142857144
125,1998,18,27.792857142857144
126,1998,18,27.792857142857144
127,1998,19,27.685714285714287
128,1998,19,27.685714285714287
129,1998,19,27.685714285714287
130,1998,19,27.685714285714287
131,1998,19,27.685714285714287
132,1998,19,27.685714285714287
133,1998,19,27.685714285714287
134,1998,20,27.985714285714288
135,1998,20,27.985714285714288
136,1998,20,27.985714285714288
137,1998,20,27.985714285714288
138,1998,20,27.985714285714288
139,1998,20,27.985714285714288
140,1998,20,27.985714285714288
141,1998,21,27.964285714285715
142,1998,21,27.964285714285715
143,1998,21,27.964285714285715
144,1998,21,27.964285714285715
145,1998,21,27.964285714285715
146,1998,21,27.964285714285715
147,1998,21,27.964285714285715
148,1998,22,28.135714285714286
149,1998,22,28.135714285714286
150,1998,22,28.135714285714286
151,1998,22,28.135714285714286
152,1998,22,28.135714285714286
153,1998,22,28.135714285714286
154,1998,22,28.135714285714286
155,1998,23,27.942857142857143
156,1998,23,27.942857142857143
157,1998,23,27.942857142857143
158,1998,23,27.942857142857143
159,1998,23,27.942857142857143
160,1998,23,27.942857142857143
161,1998,23,27.942857142857143
162,1998,24,27.9
163,1998,24,27.9
164,1998,24,27.9
165,1998,24,27.9
166,1998,24,27.9
167,1998,24,27.9
168,1998,24,27.9
169,1998,25,28.2
170,1998,25,28.2
171,1998,25,28.2
172,1998,25,28.2
173,1998,25,28.2
174,1998,25,28.2
175,1998,25,28.2
176,1998,26,28.307142857142857
177,1998,26,28.307142857142857
178,1998,26,28.307142857142857
179,1998,26,28.307142857142857
180,1998,26,28.307142857142857
181,1998,26,28.307142857142857
182,1998,26,28.307142857142857
183,1998,27,28.37142857142857
184,1998,27,28.37142857142857
185,1998,27,28.37142857142857
186,1998,27,28.37142857142857
187,1998,27,28.37142857142857
188,1998,27,28.37142857142857
189,1998,27,28.37142857142857
190,1998,28,28.2
191,1998,28,28.2
192,1998,28,28.2
193,1998,28,28.2
194,1998,28,28.2
195,1998,28,28.2
196,1998,28,28.2
