wk,wkly_sd
1,0.7454599023452458
2,0.8243275148842617
3,0.7058443139737948
4,0.7947479673146707
5,0.8219649824604077
6,0.8138553806395057
7,0.7259704129569763
8,0.7578365733872513
9,0.7569767175778442
10,0.7803699588831396
11,0.7477116860594228
12,0.7553153890252712
13,0.7330520822104
14,0.6473258442724975
15,0.6713070611568548
16,0.6886680992720139
17,0.7435076777823572
18,0.7076683542578603
19,0.7275255003813388
20,0.639348288311022
21,0.654677009103761
22,0.6752443464594995
23,0.6964091298142331
24,0.6820827090621254
25,0.7017004338420259
26,0.6100914783190257
27,0.6339251955493878
28,0.5913924537710871
29,0.5817113395024456
30,0.5743440474119632
31,0.592724703791178
32,0.567192568918901
33,0.5097642844182487
34,0.6469443957436453
35,0.6855961032610403
36,0.6064059924297398
37,0.6167883003807958
38,0.5889556799723851
39,0.6955193277096787
40,0.6445198555171472
41,0.7454342820849892
42,0.7857326895545852
43,0.7725030007531692
44,0.7596891326747076
45,0.9422237119178386
46,0.964180878776233
47,0.7121557241229399
48,0.7514951991712173
49,0.8454411969012849
50,0.7620060172722076
51,0.7692878901339854
52,0.7580028844296482
53,0.7547159424883999
