iucn_sid,sciname,class,common,category
190762,Chlorurus frontalis,actinopterygii,Tan-faced Parrotfish,LC
"NA",Chrysiptera glauca,actinopterygii,Grey demoiselle,NE
165628,Chaetodon kleinii,actinopterygii,Whitespotted Butterflyfish,LC
"NA",Chromis lepidolepis,actinopterygii,Scaly chromis,NE
165669,Chaetodon lineolatus,actinopterygii,Lined Butterflyfish,LC
165704,Chaetodon lunulatus,actinopterygii,Pacific Pinstriped Butterflyfish,LC
165651,Chaetodon lunula,actinopterygii,Redstriped Butterflyfish,LC
"NA",Chromis margaritifer,actinopterygii,Bicolor chromis,NE
190728,Chlorurus microrhinos,actinopterygii,Steephead Parrotfish,LC
165638,Chaetodon meyeri,actinopterygii,Scrawled Butterflyfish,LC
165641,Chaetodon ornatissimus,actinopterygii,Ornate Butterflyfish,LC
187649,Cheilinus oxycephalus,actinopterygii,Point-head maori wrasse,LC
165632,Chaetodon punctatofasciatus,actinopterygii,Spotted Belly Butterflyfish,LC
"NA",Cheilodipterus quinquelineatus,actinopterygii,Five-lined cardinalfish,NE
165678,Chaetodon quadrimaculatus,actinopterygii,Neonbanded Butterflyfish,LC
165713,Chaetodon reticulatus,actinopterygii,Reticulated Butterflyfish,DD
165725,Chaetodon semeion,actinopterygii,Decorated Butterflyfish,LC
190715,Chlorurus sordidus,actinopterygii,Daisy Parrotfish,LC
"NA",Chromis ternatensis,actinopterygii,Ternate chromis,NE
154623,Cheilinus trilobatus,actinopterygii,Tripletail Wrasse,LC
165712,Chaetodon trifascialis,actinopterygii,Triangulate Butterflyfish,NT
4592,Cheilinus undulatus,actinopterygii,Humphead Wrasse,EN
165665,Chaetodon ulietensis,actinopterygii,Pacific Double-saddled Butterflyfish,LC
165714,Chaetodon unimaculatus,actinopterygii,Teardrop Butterfly Fish,LC
"NA",Chromis vanderbilti,actinopterygii,Vanderbilt's chromis,NE
165630,Chaetodon vagabundus,actinopterygii,Criss-cross Butterflyfish,LC
"NA",Chromis viridis,actinopterygii,Blue green damselfish,NE
"NA",Chromis xanthura,actinopterygii,Paletail chromis,NE
187461,Cirrhilabrus exquisitus,actinopterygii,Exquisite wrasse,DD
67996584,Cirrhitops hubbardi,actinopterygii,NA,LC
67997668,Cirrhitichthys oxycephalus,actinopterygii,Coral Hawkfish,LC
67997787,Cirrhitus pinnulatus,actinopterygii,Stocky Hawkfish,LC
48342248,Cirripectes polyzona,actinopterygii,Barred Blenny,LC
48342402,Cirripectes variolosus,actinopterygii,Banded Fringe Blenny,LC
187802,Coris aygula,actinopterygii,False clownwrasse,LC
187792,Coris centralis,actinopterygii,NA,LC
199200,Conger cinereus,actinopterygii,Ashen Conger Eel,LC
187436,Coris gaimard,actinopterygii,African clown wrasse,LC
177958,Ctenochaetus cyanocheilus,actinopterygii,Short-tail bristle-tooth,LC
178018,Ctenochaetus flavicauda,actinopterygii,Whitetail Bristletooth,LC
178014,Ctenochaetus hawaiiensis,actinopterygii,Hawaiian Bristletooth,LC
177964,Ctenochaetus marginatus,actinopterygii,Blue-spotted Bristletooth,LC
178012,Ctenochaetus striatus,actinopterygii,Striped Bristletooth,LC
"NA",Dascyllus aruanus,actinopterygii,Whitetail dascyllus,NE
"NA",Dascyllus auripinnis,actinopterygii,NA,NE
69793564,Dendrochirus biocellatus,actinopterygii,Twospot Turkeyfish,LC
190117,Decapterus macarellus,actinopterygii,Mackerel Scad,LC
193668,Diodon hystrix,actinopterygii,Spot-fin Porcupinefish,LC
48342333,Ecsenius midas,actinopterygii,Midas Blenny,LC
195683,Echidna nebulosa,actinopterygii,Snowflake Eel,LC
16440027,Elagatis bipinnulata,actinopterygii,Rainbow Runner,LC
178932,Enneapterygius tutuilae,actinopterygii,High Hat Triplefin,LC
132817,Epinephelus fasciatus,actinopterygii,Blacktip Grouper,LC
44673,Epinephelus fuscoguttatus,actinopterygii,Brown-marbled Grouper,VU
132778,Epinephelus hexagonatus,actinopterygii,White Speckled Rockcod,LC
132829,Epinephelus howlandi,actinopterygii,Blacksaddle Grouper,LC
187722,Epibulus insidiator,actinopterygii,Sling-jaw wrasse,LC
7858,Epinephelus lanceolatus,actinopterygii,Giant Grouper,DD
132766,Epinephelus macrospilos,actinopterygii,Snubnose Grouper,LC
132788,Epinephelus merra,actinopterygii,Honeycomb Grouper,LC
132746,Epinephelus melanostigma,actinopterygii,One-blotch Grouper,LC
61339,Epinephelus polyphekadion,actinopterygii,Camouflage Grouper,VU
132794,Epinephelus retouti,actinopterygii,Red-tipped Grouper,LC
132747,Epinephelus spilotoceps,actinopterygii,Foursaddle Grouper,LC
132731,Epinephelus socialis,actinopterygii,Surge Grouper,LC
132758,Epinephelus tauvina,actinopterygii,Greasy Grouper,DD
193159,Eviota prasites,actinopterygii,Hairfin Eviota,LC
48342137,Exallias brevis,actinopterygii,Leopard Blenny,LC
18257780,Fistularia commersonii,actinopterygii,Bluespotted Cornetfish,LC
165716,Forcipiger flavissimus,actinopterygii,Big long-nosed Butterflyfish,LC
165667,Forcipiger longirostris,actinopterygii,Black Long-nosed Butterflyfish,LC
193167,Fusigobius neophytus,actinopterygii,Common Fusegoby,LC
39378,Galeocerdo cuvier,chondrichthyes,Tiger Shark,NT
16719296,Gnathodentex aureolineatus,actinopterygii,Striped Large-eye Bream,LC
193171,Gobiodon rivulatus,actinopterygii,Rippled Coralgoby,LC
187536,Gomphosus varius,actinopterygii,Purple club-nosed wrasse,LC
132800,Gracila albomarginata,actinopterygii,Masked Grouper,LC
69584408,Grammistes sexlineatus,actinopterygii,Goldenstriped Soapfish,LC
4615,Chelonia mydas,reptilia,Green Turtle,EN
195728,Gymnothorax flavimarginatus,actinopterygii,Yellow Edged Moray,LC
