year,sciname,cat,cat_txt,cat_score
2015,Chaetodon ornatissimus,LC,Least Concern,0
2016,Chaetodon ornatissimus,LC,Least Concern,0
2017,Chaetodon ornatissimus,LC,Least Concern,0
2018,Chaetodon ornatissimus,LC,Least Concern,0
2019,Chaetodon ornatissimus,LC,Least Concern,0
2020,Chaetodon ornatissimus,LC,Least Concern,0
2010,Chaetodon punctatofasciatus,LC,Least Concern,0
2011,Chaetodon punctatofasciatus,LC,Least Concern,0
2012,Chaetodon punctatofasciatus,LC,Least Concern,0
2013,Chaetodon punctatofasciatus,LC,Least Concern,0
2014,Chaetodon punctatofasciatus,LC,Least Concern,0
2015,Chaetodon punctatofasciatus,LC,Least Concern,0
2016,Chaetodon punctatofasciatus,LC,Least Concern,0
2017,Chaetodon punctatofasciatus,LC,Least Concern,0
2018,Chaetodon punctatofasciatus,LC,Least Concern,0
2019,Chaetodon punctatofasciatus,LC,Least Concern,0
2020,Chaetodon punctatofasciatus,LC,Least Concern,0
2010,Chaetodon quadrimaculatus,LC,Least Concern,0
2011,Chaetodon quadrimaculatus,LC,Least Concern,0
2012,Chaetodon quadrimaculatus,LC,Least Concern,0
2013,Chaetodon quadrimaculatus,LC,Least Concern,0
2014,Chaetodon quadrimaculatus,LC,Least Concern,0
2015,Chaetodon quadrimaculatus,LC,Least Concern,0
2016,Chaetodon quadrimaculatus,LC,Least Concern,0
2017,Chaetodon quadrimaculatus,LC,Least Concern,0
2018,Chaetodon quadrimaculatus,LC,Least Concern,0
2019,Chaetodon quadrimaculatus,LC,Least Concern,0
2020,Chaetodon quadrimaculatus,LC,Least Concern,0
2010,Chaetodon semeion,LC,Least Concern,0
2011,Chaetodon semeion,LC,Least Concern,0
2012,Chaetodon semeion,LC,Least Concern,0
2013,Chaetodon semeion,LC,Least Concern,0
2014,Chaetodon semeion,LC,Least Concern,0
2015,Chaetodon semeion,LC,Least Concern,0
2016,Chaetodon semeion,LC,Least Concern,0
2017,Chaetodon semeion,LC,Least Concern,0
2018,Chaetodon semeion,LC,Least Concern,0
2019,Chaetodon semeion,LC,Least Concern,0
2020,Chaetodon semeion,LC,Least Concern,0
2010,Chaetodon trifascialis,NT,Near Threatened,0.2
2011,Chaetodon trifascialis,NT,Near Threatened,0.2
2012,Chaetodon trifascialis,NT,Near Threatened,0.2
2013,Chaetodon trifascialis,NT,Near Threatened,0.2
2014,Chaetodon trifascialis,NT,Near Threatened,0.2
2015,Chaetodon trifascialis,NT,Near Threatened,0.2
2016,Chaetodon trifascialis,NT,Near Threatened,0.2
2017,Chaetodon trifascialis,NT,Near Threatened,0.2
2018,Chaetodon trifascialis,NT,Near Threatened,0.2
2019,Chaetodon trifascialis,NT,Near Threatened,0.2
2020,Chaetodon trifascialis,NT,Near Threatened,0.2
2010,Chaetodon ulietensis,LC,Least Concern,0
2011,Chaetodon ulietensis,LC,Least Concern,0
2012,Chaetodon ulietensis,LC,Least Concern,0
2013,Chaetodon ulietensis,LC,Least Concern,0
2014,Chaetodon ulietensis,LC,Least Concern,0
2015,Chaetodon ulietensis,LC,Least Concern,0
2016,Chaetodon ulietensis,LC,Least Concern,0
2017,Chaetodon ulietensis,LC,Least Concern,0
2018,Chaetodon ulietensis,LC,Least Concern,0
2019,Chaetodon ulietensis,LC,Least Concern,0
2020,Chaetodon ulietensis,LC,Least Concern,0
2010,Chaetodon unimaculatus,LC,Least Concern,0
2011,Chaetodon unimaculatus,LC,Least Concern,0
2012,Chaetodon unimaculatus,LC,Least Concern,0
2013,Chaetodon unimaculatus,LC,Least Concern,0
2014,Chaetodon unimaculatus,LC,Least Concern,0
2015,Chaetodon unimaculatus,LC,Least Concern,0
2016,Chaetodon unimaculatus,LC,Least Concern,0
2017,Chaetodon unimaculatus,LC,Least Concern,0
2018,Chaetodon unimaculatus,LC,Least Concern,0
2019,Chaetodon unimaculatus,LC,Least Concern,0
2020,Chaetodon unimaculatus,LC,Least Concern,0
2010,Chaetodon vagabundus,LC,Least Concern,0
2011,Chaetodon vagabundus,LC,Least Concern,0
2012,Chaetodon vagabundus,LC,Least Concern,0
2013,Chaetodon vagabundus,LC,Least Concern,0
2014,Chaetodon vagabundus,LC,Least Concern,0
2015,Chaetodon vagabundus,LC,Least Concern,0
2016,Chaetodon vagabundus,LC,Least Concern,0
2017,Chaetodon vagabundus,LC,Least Concern,0
2018,Chaetodon vagabundus,LC,Least Concern,0
2019,Chaetodon vagabundus,LC,Least Concern,0
2020,Chaetodon vagabundus,LC,Least Concern,0
2010,Cheilinus oxycephalus,LC,Least Concern,0
2011,Cheilinus oxycephalus,LC,Least Concern,0
2012,Cheilinus oxycephalus,LC,Least Concern,0
2013,Cheilinus oxycephalus,LC,Least Concern,0
2014,Cheilinus oxycephalus,LC,Least Concern,0
2015,Cheilinus oxycephalus,LC,Least Concern,0
2016,Cheilinus oxycephalus,LC,Least Concern,0
2017,Cheilinus oxycephalus,LC,Least Concern,0
2018,Cheilinus oxycephalus,LC,Least Concern,0
2019,Cheilinus oxycephalus,LC,Least Concern,0
2020,Cheilinus oxycephalus,LC,Least Concern,0
2010,Cheilinus trilobatus,LC,Least Concern,0
2011,Cheilinus trilobatus,LC,Least Concern,0
2012,Cheilinus trilobatus,LC,Least Concern,0
2013,Cheilinus trilobatus,LC,Least Concern,0
2014,Cheilinus trilobatus,LC,Least Concern,0
2015,Cheilinus trilobatus,LC,Least Concern,0
2016,Cheilinus trilobatus,LC,Least Concern,0
2017,Cheilinus trilobatus,LC,Least Concern,0
2018,Cheilinus trilobatus,LC,Least Concern,0
2019,Cheilinus trilobatus,LC,Least Concern,0
2020,Cheilinus trilobatus,LC,Least Concern,0
2000,Chelonia mydas,EN,Endangered,0.6
2001,Chelonia mydas,EN,Endangered,0.6
2002,Chelonia mydas,EN,Endangered,0.6
2003,Chelonia mydas,EN,Endangered,0.6
2004,Chelonia mydas,EN,Endangered,0.6
2005,Chelonia mydas,EN,Endangered,0.6
2006,Chelonia mydas,EN,Endangered,0.6
2007,Chelonia mydas,EN,Endangered,0.6
2008,Chelonia mydas,EN,Endangered,0.6
2009,Chelonia mydas,EN,Endangered,0.6
2010,Chelonia mydas,EN,Endangered,0.6
2011,Chelonia mydas,EN,Endangered,0.6
2012,Chelonia mydas,EN,Endangered,0.6
2013,Chelonia mydas,EN,Endangered,0.6
2014,Chelonia mydas,EN,Endangered,0.6
2015,Chelonia mydas,EN,Endangered,0.6
2016,Chelonia mydas,EN,Endangered,0.6
2017,Chelonia mydas,EN,Endangered,0.6
2018,Chelonia mydas,EN,Endangered,0.6
2019,Chelonia mydas,EN,Endangered,0.6
2020,Chelonia mydas,EN,Endangered,0.6
2010,Chlorurus frontalis,LC,Least Concern,0
2011,Chlorurus frontalis,LC,Least Concern,0
2012,Chlorurus frontalis,LC,Least Concern,0
2013,Chlorurus frontalis,LC,Least Concern,0
2014,Chlorurus frontalis,LC,Least Concern,0
2015,Chlorurus frontalis,LC,Least Concern,0
2016,Chlorurus frontalis,LC,Least Concern,0
2017,Chlorurus frontalis,LC,Least Concern,0
2018,Chlorurus frontalis,LC,Least Concern,0
2019,Chlorurus frontalis,LC,Least Concern,0
2020,Chlorurus frontalis,LC,Least Concern,0
2010,Chlorurus microrhinos,LC,Least Concern,0
2011,Chlorurus microrhinos,LC,Least Concern,0
2012,Chlorurus microrhinos,LC,Least Concern,0
2013,Chlorurus microrhinos,LC,Least Concern,0
2014,Chlorurus microrhinos,LC,Least Concern,0
2015,Chlorurus microrhinos,LC,Least Concern,0
2016,Chlorurus microrhinos,LC,Least Concern,0
2017,Chlorurus microrhinos,LC,Least Concern,0
2018,Chlorurus microrhinos,LC,Least Concern,0
2019,Chlorurus microrhinos,LC,Least Concern,0
2020,Chlorurus microrhinos,LC,Least Concern,0
2010,Chlorurus spilurus,LC,Least Concern,0
2011,Chlorurus spilurus,LC,Least Concern,0
2012,Chlorurus spilurus,LC,Least Concern,0
2013,Chlorurus spilurus,LC,Least Concern,0
2014,Chlorurus spilurus,LC,Least Concern,0
2015,Chlorurus spilurus,LC,Least Concern,0
2016,Chlorurus spilurus,LC,Least Concern,0
2017,Chlorurus spilurus,LC,Least Concern,0
2018,Chlorurus spilurus,LC,Least Concern,0
2019,Chlorurus spilurus,LC,Least Concern,0
2020,Chlorurus spilurus,LC,Least Concern,0
2016,Choeroichthys sculptus,LC,Least Concern,0
2017,Choeroichthys sculptus,LC,Least Concern,0
2018,Choeroichthys sculptus,LC,Least Concern,0
2019,Choeroichthys sculptus,LC,Least Concern,0
2020,Choeroichthys sculptus,LC,Least Concern,0
2017,Chromis caudalis,LC,Least Concern,0
2018,Chromis caudalis,LC,Least Concern,0
2019,Chromis caudalis,LC,Least Concern,0
2020,Chromis caudalis,LC,Least Concern,0
2014,Cirripectes auritus,LC,Least Concern,0
2015,Cirripectes auritus,LC,Least Concern,0
2016,Cirripectes auritus,LC,Least Concern,0
2017,Cirripectes auritus,LC,Least Concern,0
2018,Cirripectes auritus,LC,Least Concern,0
2019,Cirripectes auritus,LC,Least Concern,0
2020,Cirripectes auritus,LC,Least Concern,0
2014,Cirripectes jenningsi,LC,Least Concern,0
2015,Cirripectes jenningsi,LC,Least Concern,0
2016,Cirripectes jenningsi,LC,Least Concern,0
2017,Cirripectes jenningsi,LC,Least Concern,0
2018,Cirripectes jenningsi,LC,Least Concern,0
2019,Cirripectes jenningsi,LC,Least Concern,0
2020,Cirripectes jenningsi,LC,Least Concern,0
2014,Cirripectes polyzona,LC,Least Concern,0
2015,Cirripectes polyzona,LC,Least Concern,0
2016,Cirripectes polyzona,LC,Least Concern,0
2017,Cirripectes polyzona,LC,Least Concern,0
2018,Cirripectes polyzona,LC,Least Concern,0
2019,Cirripectes polyzona,LC,Least Concern,0
2020,Cirripectes polyzona,LC,Least Concern,0
2014,Cirripectes quagga,LC,Least Concern,0
2015,Cirripectes quagga,LC,Least Concern,0
2016,Cirripectes quagga,LC,Least Concern,0
2017,Cirripectes quagga,LC,Least Concern,0
2018,Cirripectes quagga,LC,Least Concern,0
2019,Cirripectes quagga,LC,Least Concern,0
2020,Cirripectes quagga,LC,Least Concern,0
2014,Cirripectes variolosus,LC,Least Concern,0
2015,Cirripectes variolosus,LC,Least Concern,0
2016,Cirripectes variolosus,LC,Least Concern,0
2017,Cirripectes variolosus,LC,Least Concern,0
2018,Cirripectes variolosus,LC,Least Concern,0
2019,Cirripectes variolosus,LC,Least Concern,0
2020,Cirripectes variolosus,LC,Least Concern,0
2013,Conus acutangulus,LC,Least Concern,0
2014,Conus acutangulus,LC,Least Concern,0
2015,Conus acutangulus,LC,Least Concern,0
2016,Conus acutangulus,LC,Least Concern,0
2017,Conus acutangulus,LC,Least Concern,0
2018,Conus acutangulus,LC,Least Concern,0
2019,Conus acutangulus,LC,Least Concern,0
2020,Conus acutangulus,LC,Least Concern,0
2013,Conus arenatus,LC,Least Concern,0
2014,Conus arenatus,LC,Least Concern,0
2015,Conus arenatus,LC,Least Concern,0
2016,Conus arenatus,LC,Least Concern,0
2017,Conus arenatus,LC,Least Concern,0
2018,Conus arenatus,LC,Least Concern,0
2019,Conus arenatus,LC,Least Concern,0
2020,Conus arenatus,LC,Least Concern,0
2013,Conus aulicus,LC,Least Concern,0
2014,Conus aulicus,LC,Least Concern,0
2015,Conus aulicus,LC,Least Concern,0
2016,Conus aulicus,LC,Least Concern,0
2017,Conus aulicus,LC,Least Concern,0
2018,Conus aulicus,LC,Least Concern,0
2019,Conus aulicus,LC,Least Concern,0
2020,Conus aulicus,LC,Least Concern,0
2013,Conus auricomus,LC,Least Concern,0
2014,Conus auricomus,LC,Least Concern,0
2015,Conus auricomus,LC,Least Concern,0
2016,Conus auricomus,LC,Least Concern,0
2017,Conus auricomus,LC,Least Concern,0
2018,Conus auricomus,LC,Least Concern,0
2019,Conus auricomus,LC,Least Concern,0
2020,Conus auricomus,LC,Least Concern,0
2013,Conus bandanus,LC,Least Concern,0
2014,Conus bandanus,LC,Least Concern,0
2015,Conus bandanus,LC,Least Concern,0
2016,Conus bandanus,LC,Least Concern,0
2017,Conus bandanus,LC,Least Concern,0
2018,Conus bandanus,LC,Least Concern,0
2019,Conus bandanus,LC,Least Concern,0
2020,Conus bandanus,LC,Least Concern,0
2013,Conus bullatus,LC,Least Concern,0
2014,Conus bullatus,LC,Least Concern,0
2015,Conus bullatus,LC,Least Concern,0
2016,Conus bullatus,LC,Least Concern,0
2017,Conus bullatus,LC,Least Concern,0
2018,Conus bullatus,LC,Least Concern,0
2019,Conus bullatus,LC,Least Concern,0
2020,Conus bullatus,LC,Least Concern,0
2013,Conus canonicus,LC,Least Concern,0
2014,Conus canonicus,LC,Least Concern,0
2015,Conus canonicus,LC,Least Concern,0
2016,Conus canonicus,LC,Least Concern,0
2017,Conus canonicus,LC,Least Concern,0
2018,Conus canonicus,LC,Least Concern,0
2019,Conus canonicus,LC,Least Concern,0
2020,Conus canonicus,LC,Least Concern,0
2013,Conus catus,LC,Least Concern,0
2014,Conus catus,LC,Least Concern,0
2015,Conus catus,LC,Least Concern,0
2016,Conus catus,LC,Least Concern,0
2017,Conus catus,LC,Least Concern,0
2018,Conus catus,LC,Least Concern,0
2019,Conus catus,LC,Least Concern,0
2020,Conus catus,LC,Least Concern,0
2013,Conus chaldaeus,LC,Least Concern,0
2014,Conus chaldaeus,LC,Least Concern,0
2015,Conus chaldaeus,LC,Least Concern,0
2016,Conus chaldaeus,LC,Least Concern,0
2017,Conus chaldaeus,LC,Least Concern,0
2018,Conus chaldaeus,LC,Least Concern,0
2019,Conus chaldaeus,LC,Least Concern,0
2020,Conus chaldaeus,LC,Least Concern,0
2013,Conus circumactus,LC,Least Concern,0
2014,Conus circumactus,LC,Least Concern,0
2015,Conus circumactus,LC,Least Concern,0
2016,Conus circumactus,LC,Least Concern,0
2017,Conus circumactus,LC,Least Concern,0
2018,Conus circumactus,LC,Least Concern,0
2019,Conus circumactus,LC,Least Concern,0
2020,Conus circumactus,LC,Least Concern,0
2013,Conus coffeae,LC,Least Concern,0
2014,Conus coffeae,LC,Least Concern,0
2015,Conus coffeae,LC,Least Concern,0
2016,Conus coffeae,LC,Least Concern,0
2017,Conus coffeae,LC,Least Concern,0
2018,Conus coffeae,LC,Least Concern,0
2019,Conus coffeae,LC,Least Concern,0
2020,Conus coffeae,LC,Least Concern,0
2013,Conus coronatus,LC,Least Concern,0
2014,Conus coronatus,LC,Least Concern,0
2015,Conus coronatus,LC,Least Concern,0
2016,Conus coronatus,LC,Least Concern,0
2017,Conus coronatus,LC,Least Concern,0
2018,Conus coronatus,LC,Least Concern,0
2019,Conus coronatus,LC,Least Concern,0
2020,Conus coronatus,LC,Least Concern,0
2013,Conus cylindraceus,LC,Least Concern,0
2014,Conus cylindraceus,LC,Least Concern,0
2015,Conus cylindraceus,LC,Least Concern,0
2016,Conus cylindraceus,LC,Least Concern,0
2017,Conus cylindraceus,LC,Least Concern,0
2018,Conus cylindraceus,LC,Least Concern,0
2019,Conus cylindraceus,LC,Least Concern,0
2020,Conus cylindraceus,LC,Least Concern,0
2013,Conus distans,LC,Least Concern,0
2014,Conus distans,LC,Least Concern,0
2015,Conus distans,LC,Least Concern,0
2016,Conus distans,LC,Least Concern,0
2017,Conus distans,LC,Least Concern,0
2018,Conus distans,LC,Least Concern,0
2019,Conus distans,LC,Least Concern,0
2020,Conus distans,LC,Least Concern,0
2013,Conus ebraeus,LC,Least Concern,0
2014,Conus ebraeus,LC,Least Concern,0
2015,Conus ebraeus,LC,Least Concern,0
2016,Conus ebraeus,LC,Least Concern,0
2017,Conus ebraeus,LC,Least Concern,0
2018,Conus ebraeus,LC,Least Concern,0
2019,Conus ebraeus,LC,Least Concern,0
2020,Conus ebraeus,LC,Least Concern,0
2013,Conus eburneus,LC,Least Concern,0
2014,Conus eburneus,LC,Least Concern,0
2015,Conus eburneus,LC,Least Concern,0
2016,Conus eburneus,LC,Least Concern,0
2017,Conus eburneus,LC,Least Concern,0
2018,Conus eburneus,LC,Least Concern,0
2019,Conus eburneus,LC,Least Concern,0
2020,Conus eburneus,LC,Least Concern,0
2013,Conus emaciatus,LC,Least Concern,0
2014,Conus emaciatus,LC,Least Concern,0
2015,Conus emaciatus,LC,Least Concern,0
2016,Conus emaciatus,LC,Least Concern,0
2017,Conus emaciatus,LC,Least Concern,0
2018,Conus emaciatus,LC,Least Concern,0
2019,Conus emaciatus,LC,Least Concern,0
2020,Conus emaciatus,LC,Least Concern,0
2013,Conus episcopatus,LC,Least Concern,0
2014,Conus episcopatus,LC,Least Concern,0
2015,Conus episcopatus,LC,Least Concern,0
2016,Conus episcopatus,LC,Least Concern,0
2017,Conus episcopatus,LC,Least Concern,0
2018,Conus episcopatus,LC,Least Concern,0
2019,Conus episcopatus,LC,Least Concern,0
2020,Conus episcopatus,LC,Least Concern,0
2013,Conus ferrugineus,LC,Least Concern,0
2014,Conus ferrugineus,LC,Least Concern,0
2015,Conus ferrugineus,LC,Least Concern,0
2016,Conus ferrugineus,LC,Least Concern,0
2017,Conus ferrugineus,LC,Least Concern,0
2018,Conus ferrugineus,LC,Least Concern,0
2019,Conus ferrugineus,LC,Least Concern,0
2020,Conus ferrugineus,LC,Least Concern,0
2013,Conus flavidus,LC,Least Concern,0
2014,Conus flavidus,LC,Least Concern,0
2015,Conus flavidus,LC,Least Concern,0
2016,Conus flavidus,LC,Least Concern,0
2017,Conus flavidus,LC,Least Concern,0
2018,Conus flavidus,LC,Least Concern,0
2019,Conus flavidus,LC,Least Concern,0
2020,Conus flavidus,LC,Least Concern,0
2013,Conus frigidus,LC,Least Concern,0
2014,Conus frigidus,LC,Least Concern,0
2015,Conus frigidus,LC,Least Concern,0
2016,Conus frigidus,LC,Least Concern,0
2017,Conus frigidus,LC,Least Concern,0
2018,Conus frigidus,LC,Least Concern,0
2019,Conus frigidus,LC,Least Concern,0
2020,Conus frigidus,LC,Least Concern,0
2013,Conus generalis,LC,Least Concern,0
2014,Conus generalis,LC,Least Concern,0
2015,Conus generalis,LC,Least Concern,0
2016,Conus generalis,LC,Least Concern,0
2017,Conus generalis,LC,Least Concern,0
2018,Conus generalis,LC,Least Concern,0
2019,Conus generalis,LC,Least Concern,0
2020,Conus generalis,LC,Least Concern,0
2013,Conus geographus,LC,Least Concern,0
2014,Conus geographus,LC,Least Concern,0
2015,Conus geographus,LC,Least Concern,0
2016,Conus geographus,LC,Least Concern,0
2017,Conus geographus,LC,Least Concern,0
2018,Conus geographus,LC,Least Concern,0
2019,Conus geographus,LC,Least Concern,0
2020,Conus geographus,LC,Least Concern,0
2013,Conus glans,LC,Least Concern,0
2014,Conus glans,LC,Least Concern,0
2015,Conus glans,LC,Least Concern,0
2016,Conus glans,LC,Least Concern,0
2017,Conus glans,LC,Least Concern,0
2018,Conus glans,LC,Least Concern,0
2019,Conus glans,LC,Least Concern,0
2020,Conus glans,LC,Least Concern,0
2013,Conus imperialis,LC,Least Concern,0
2014,Conus imperialis,LC,Least Concern,0
2015,Conus imperialis,LC,Least Concern,0
2016,Conus imperialis,LC,Least Concern,0
2017,Conus imperialis,LC,Least Concern,0
2018,Conus imperialis,LC,Least Concern,0
2019,Conus imperialis,LC,Least Concern,0
2020,Conus imperialis,LC,Least Concern,0
2013,Conus leopardus,LC,Least Concern,0
2014,Conus leopardus,LC,Least Concern,0
2015,Conus leopardus,LC,Least Concern,0
2016,Conus leopardus,LC,Least Concern,0
2017,Conus leopardus,LC,Least Concern,0
2018,Conus leopardus,LC,Least Concern,0
2019,Conus leopardus,LC,Least Concern,0
2020,Conus leopardus,LC,Least Concern,0
2013,Conus litoglyphus,LC,Least Concern,0
2014,Conus litoglyphus,LC,Least Concern,0
2015,Conus litoglyphus,LC,Least Concern,0
2016,Conus litoglyphus,LC,Least Concern,0
2017,Conus litoglyphus,LC,Least Concern,0
2018,Conus litoglyphus,LC,Least Concern,0
2019,Conus litoglyphus,LC,Least Concern,0
2020,Conus litoglyphus,LC,Least Concern,0
2013,Conus litteratus,LC,Least Concern,0
2014,Conus litteratus,LC,Least Concern,0
2015,Conus litteratus,LC,Least Concern,0
2016,Conus litteratus,LC,Least Concern,0
2017,Conus litteratus,LC,Least Concern,0
2018,Conus litteratus,LC,Least Concern,0
2019,Conus litteratus,LC,Least Concern,0
2020,Conus litteratus,LC,Least Concern,0
2013,Conus lividus,LC,Least Concern,0
2014,Conus lividus,LC,Least Concern,0
2015,Conus lividus,LC,Least Concern,0
2016,Conus lividus,LC,Least Concern,0
2017,Conus lividus,LC,Least Concern,0
2018,Conus lividus,LC,Least Concern,0
2019,Conus lividus,LC,Least Concern,0
2020,Conus lividus,LC,Least Concern,0
2013,Conus magnificus,LC,Least Concern,0
2014,Conus magnificus,LC,Least Concern,0
2015,Conus magnificus,LC,Least Concern,0
2016,Conus magnificus,LC,Least Concern,0
2017,Conus magnificus,LC,Least Concern,0
2018,Conus magnificus,LC,Least Concern,0
2019,Conus magnificus,LC,Least Concern,0
2020,Conus magnificus,LC,Least Concern,0
2013,Conus miles,LC,Least Concern,0
2014,Conus miles,LC,Least Concern,0
2015,Conus miles,LC,Least Concern,0
2016,Conus miles,LC,Least Concern,0
2017,Conus miles,LC,Least Concern,0
2018,Conus miles,LC,Least Concern,0
2019,Conus miles,LC,Least Concern,0
2020,Conus miles,LC,Least Concern,0
2013,Conus mitratus,LC,Least Concern,0
2014,Conus mitratus,LC,Least Concern,0
2015,Conus mitratus,LC,Least Concern,0
2016,Conus mitratus,LC,Least Concern,0
2017,Conus mitratus,LC,Least Concern,0
2018,Conus mitratus,LC,Least Concern,0
2019,Conus mitratus,LC,Least Concern,0
2020,Conus mitratus,LC,Least Concern,0
2013,Conus moreleti,LC,Least Concern,0
2014,Conus moreleti,LC,Least Concern,0
2015,Conus moreleti,LC,Least Concern,0
2016,Conus moreleti,LC,Least Concern,0
2017,Conus moreleti,LC,Least Concern,0
2018,Conus moreleti,LC,Least Concern,0
2019,Conus moreleti,LC,Least Concern,0
2020,Conus moreleti,LC,Least Concern,0
2013,Conus nussatella,LC,Least Concern,0
2014,Conus nussatella,LC,Least Concern,0
2015,Conus nussatella,LC,Least Concern,0
2016,Conus nussatella,LC,Least Concern,0
2017,Conus nussatella,LC,Least Concern,0
2018,Conus nussatella,LC,Least Concern,0
2019,Conus nussatella,LC,Least Concern,0
2020,Conus nussatella,LC,Least Concern,0
2013,Conus obscurus,LC,Least Concern,0
2014,Conus obscurus,LC,Least Concern,0
2015,Conus obscurus,LC,Least Concern,0
2016,Conus obscurus,LC,Least Concern,0
2017,Conus obscurus,LC,Least Concern,0
2018,Conus obscurus,LC,Least Concern,0
2019,Conus obscurus,LC,Least Concern,0
2020,Conus obscurus,LC,Least Concern,0
2013,Conus pertusus,LC,Least Concern,0
2014,Conus pertusus,LC,Least Concern,0
2015,Conus pertusus,LC,Least Concern,0
2016,Conus pertusus,LC,Least Concern,0
2017,Conus pertusus,LC,Least Concern,0
2018,Conus pertusus,LC,Least Concern,0
2019,Conus pertusus,LC,Least Concern,0
2020,Conus pertusus,LC,Least Concern,0
2013,Conus planorbis,LC,Least Concern,0
2014,Conus planorbis,LC,Least Concern,0
2015,Conus planorbis,LC,Least Concern,0
2016,Conus planorbis,LC,Least Concern,0
2017,Conus planorbis,LC,Least Concern,0
2018,Conus planorbis,LC,Least Concern,0
2019,Conus planorbis,LC,Least Concern,0
2020,Conus planorbis,LC,Least Concern,0
2013,Conus pulicarius,LC,Least Concern,0
2014,Conus pulicarius,LC,Least Concern,0
2015,Conus pulicarius,LC,Least Concern,0
2016,Conus pulicarius,LC,Least Concern,0
2017,Conus pulicarius,LC,Least Concern,0
2018,Conus pulicarius,LC,Least Concern,0
2019,Conus pulicarius,LC,Least Concern,0
2020,Conus pulicarius,LC,Least Concern,0
2013,Conus quercinus,LC,Least Concern,0
2014,Conus quercinus,LC,Least Concern,0
2015,Conus quercinus,LC,Least Concern,0
2016,Conus quercinus,LC,Least Concern,0
2017,Conus quercinus,LC,Least Concern,0
2018,Conus quercinus,LC,Least Concern,0
2019,Conus quercinus,LC,Least Concern,0
2020,Conus quercinus,LC,Least Concern,0
2013,Conus rattus,LC,Least Concern,0
2014,Conus rattus,LC,Least Concern,0
2015,Conus rattus,LC,Least Concern,0
2016,Conus rattus,LC,Least Concern,0
2017,Conus rattus,LC,Least Concern,0
2018,Conus rattus,LC,Least Concern,0
2019,Conus rattus,LC,Least Concern,0
2020,Conus rattus,LC,Least Concern,0
2013,Conus retifer,LC,Least Concern,0
2014,Conus retifer,LC,Least Concern,0
2015,Conus retifer,LC,Least Concern,0
2016,Conus retifer,LC,Least Concern,0
2017,Conus retifer,LC,Least Concern,0
2018,Conus retifer,LC,Least Concern,0
2019,Conus retifer,LC,Least Concern,0
2020,Conus retifer,LC,Least Concern,0
2013,Conus sanguinolentus,LC,Least Concern,0
2014,Conus sanguinolentus,LC,Least Concern,0
2015,Conus sanguinolentus,LC,Least Concern,0
2016,Conus sanguinolentus,LC,Least Concern,0
2017,Conus sanguinolentus,LC,Least Concern,0
2018,Conus sanguinolentus,LC,Least Concern,0
2019,Conus sanguinolentus,LC,Least Concern,0
2020,Conus sanguinolentus,LC,Least Concern,0
2013,Conus sponsalis,LC,Least Concern,0
2014,Conus sponsalis,LC,Least Concern,0
2015,Conus sponsalis,LC,Least Concern,0
2016,Conus sponsalis,LC,Least Concern,0
2017,Conus sponsalis,LC,Least Concern,0
2018,Conus sponsalis,LC,Least Concern,0
2019,Conus sponsalis,LC,Least Concern,0
2020,Conus sponsalis,LC,Least Concern,0
2013,Conus striatus,LC,Least Concern,0
2014,Conus striatus,LC,Least Concern,0
2015,Conus striatus,LC,Least Concern,0
2016,Conus striatus,LC,Least Concern,0
2017,Conus striatus,LC,Least Concern,0
2018,Conus striatus,LC,Least Concern,0
2019,Conus striatus,LC,Least Concern,0
2020,Conus striatus,LC,Least Concern,0
2013,Conus terebra,LC,Least Concern,0
2014,Conus terebra,LC,Least Concern,0
2015,Conus terebra,LC,Least Concern,0
2016,Conus terebra,LC,Least Concern,0
2017,Conus terebra,LC,Least Concern,0
2018,Conus terebra,LC,Least Concern,0
2019,Conus terebra,LC,Least Concern,0
2020,Conus terebra,LC,Least Concern,0
2013,Conus tessulatus,LC,Least Concern,0
2014,Conus tessulatus,LC,Least Concern,0
2015,Conus tessulatus,LC,Least Concern,0
2016,Conus tessulatus,LC,Least Concern,0
2017,Conus tessulatus,LC,Least Concern,0
2018,Conus tessulatus,LC,Least Concern,0
2019,Conus tessulatus,LC,Least Concern,0
2020,Conus tessulatus,LC,Least Concern,0
2013,Conus textile,LC,Least Concern,0
2014,Conus textile,LC,Least Concern,0
2015,Conus textile,LC,Least Concern,0
2016,Conus textile,LC,Least Concern,0
2017,Conus textile,LC,Least Concern,0
2018,Conus textile,LC,Least Concern,0
2019,Conus textile,LC,Least Concern,0
2020,Conus textile,LC,Least Concern,0
2013,Conus tulipa,LC,Least Concern,0
2014,Conus tulipa,LC,Least Concern,0
2015,Conus tulipa,LC,Least Concern,0
2016,Conus tulipa,LC,Least Concern,0
2017,Conus tulipa,LC,Least Concern,0
2018,Conus tulipa,LC,Least Concern,0
2019,Conus tulipa,LC,Least Concern,0
2020,Conus tulipa,LC,Least Concern,0
2013,Conus varius,LC,Least Concern,0
2014,Conus varius,LC,Least Concern,0
2015,Conus varius,LC,Least Concern,0
2016,Conus varius,LC,Least Concern,0
2017,Conus varius,LC,Least Concern,0
2018,Conus varius,LC,Least Concern,0
2019,Conus varius,LC,Least Concern,0
2020,Conus varius,LC,Least Concern,0
2013,Conus vexillum,LC,Least Concern,0
2014,Conus vexillum,LC,Least Concern,0
2015,Conus vexillum,LC,Least Concern,0
2016,Conus vexillum,LC,Least Concern,0
