"","shp_iucn_sid","iucn_sid","sciname","presence","subpop","dbf_file","max_depth","comp_assessed"
"34",39337,39337,"Pseudocarcharias kamoharai",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
"35",39338,39338,"Megachasma pelagios",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
"36",39339,39339,"Alopias vulpinus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
"37",39341,39341,"Isurus oxyrinchus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
"38",39365,39365,"Carcharhinus amblyrhynchos",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","unknown",TRUE
"39",39370,39370,"Carcharhinus falciformis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
"40",39374,39374,"Carcharhinus longimanus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
"41",39378,39378,"Galeocerdo cuvier",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
"42",39381,39381,"Prionace glauca",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
"43",39384,39384,"Triaenodon obesus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
"44",39415,39415,"Aetobatus narinari",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
"45",60210,60210,"Euprotomicrus bispinatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
"46",60225,60225,"Isurus paucus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
"47",161597,161597,"Alopias pelagicus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
"48",161696,161696,"Alopias superciliosus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
"49",161731,161731,"Pteroplatytrygon violacea",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","< 200 m",TRUE
"50",195459,195459,"Mobula alfredi",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
"51",198921,198921,"Mobula birostris",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
"52",42566169,42566169,"Aetobatus ocellatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
"53",178932,178932,"Enneapterygius tutuilae",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/COMBTOOTHBLENNIES.dbf","< 200 m",TRUE
"54",46079801,46079801,"Istiblennius edentulus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/COMBTOOTHBLENNIES.dbf","< 200 m",TRUE
"55",48342402,48342402,"Cirripectes variolosus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/COMBTOOTHBLENNIES.dbf","< 200 m",TRUE
"56",48342428,48342428,"Cirripectes quagga",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/COMBTOOTHBLENNIES.dbf","< 200 m",TRUE
"57",48342519,48342519,"Rhabdoblennius rhabdotrachelus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/COMBTOOTHBLENNIES.dbf","< 200 m",TRUE
"58",48342126,48342126,"Blenniella paula",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/COMBTOOTHBLENNIES.dbf","< 200 m",TRUE
"59",48342137,48342137,"Exallias brevis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/COMBTOOTHBLENNIES.dbf","unknown",TRUE
"60",48342105,48342105,"Cirripectes auritus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/COMBTOOTHBLENNIES.dbf","< 200 m",TRUE
"61",48342213,48342213,"Entomacrodus striatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/COMBTOOTHBLENNIES.dbf","< 200 m",TRUE
"62",48342168,48342168,"Omobranchus obliquus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/COMBTOOTHBLENNIES.dbf","< 200 m",TRUE
"63",48342248,48342248,"Cirripectes polyzona",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/COMBTOOTHBLENNIES.dbf","< 200 m",TRUE
"64",48342260,48342260,"Entomacrodus cymatobiotus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/COMBTOOTHBLENNIES.dbf","< 200 m",TRUE
"65",48342265,48342265,"Entomacrodus thalassinus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/COMBTOOTHBLENNIES.dbf","< 200 m",TRUE
"66",48342306,48342306,"Cirripectes jenningsi",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/COMBTOOTHBLENNIES.dbf","< 200 m",TRUE
"67",48342309,48342309,"Petroscirtes xestus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/COMBTOOTHBLENNIES.dbf","< 200 m",TRUE
"68",48342333,48342333,"Ecsenius midas",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/COMBTOOTHBLENNIES.dbf","< 200 m",TRUE
"69",48342346,48342346,"Aspidontus taeniatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/COMBTOOTHBLENNIES.dbf","unknown",TRUE
"70",48342366,48342366,"Plagiotremus tapeinosoma",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/COMBTOOTHBLENNIES.dbf","< 200 m",TRUE
"71",48342422,48342422,"Blenniella gibbifrons",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/COMBTOOTHBLENNIES.dbf","< 200 m",TRUE
"72",48342477,48342477,"Plagiotremus rhinorhynchos",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/COMBTOOTHBLENNIES.dbf","< 200 m",TRUE
"73",192428,192428,"Conus rattus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"74",192879,192879,"Conus pertusus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"75",192573,192573,"Conus magnificus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"76",192593,192593,"Conus imperialis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"77",192811,192811,"Conus planorbis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"78",192812,192812,"Conus quercinus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"79",192815,192815,"Conus auricomus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"80",192305,192305,"Conus distans",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"81",192316,192316,"Conus textile",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"82",192318,192318,"Conus nussatella",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"83",192321,192321,"Conus striatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"84",192634,192634,"Conus miles",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"85",192636,192636,"Conus coronatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"86",192296,192296,"Conus sanguinolentus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"87",192297,192297,"Conus bullatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"88",192342,192342,"Conus emaciatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"89",192367,192367,"Conus catus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"90",192378,192378,"Conus litoglyphus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"91",192386,192386,"Conus leopardus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"92",192704,192704,"Conus acutangulus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"93",192419,192419,"Conus frigidus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"94",192424,192424,"Conus obscurus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"95",192440,192440,"Conus circumactus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"96",192460,192460,"Conus generalis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"97",192506,192506,"Conus pulicarius",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"98",192521,192521,"Conus retifer",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"99",192538,192538,"Conus ferrugineus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"100",192562,192562,"Conus flavidus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"101",192563,192563,"Conus aulicus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"102",192564,192564,"Conus moreleti",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","unknown",TRUE
"103",192567,192567,"Conus mitratus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"104",192580,192580,"Conus chaldaeus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"105",192586,192586,"Conus terebra",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"106",192587,192587,"Conus bandanus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"107",192611,192611,"Conus ebraeus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
