iucn_sid,sciname,class,common,category
192321,Conus striatus,gastropoda,NA,LC
192737,Conus canonicus,gastropoda,NA,LC
192316,Conus textile,gastropoda,NA,LC
192367,Conus catus,gastropoda,NA,LC
192318,Conus nussatella,gastropoda,NA,LC
192460,Conus generalis,gastropoda,NA,LC
192722,Conus glans,gastropoda,NA,LC
192564,Conus moreleti,gastropoda,NA,LC
192562,Conus flavidus,gastropoda,Yellow Pacific cone,LC
192743,Conus tessulatus,gastropoda,NA,LC
192664,Conus episcopatus,gastropoda,NA,LC
192419,Conus frigidus,gastropoda,Frigid Cone,LC
192674,Conus sponsalis,gastropoda,Sponsal Cone,LC
192853,Conus virgo,gastropoda,NA,LC
192793,Conus cylindraceus,gastropoda,Cylindrical Cone,LC
192342,Conus emaciatus,gastropoda,False Virgin Cone,LC
192305,Conus distans,gastropoda,NA,LC
192719,Conus litteratus,gastropoda,NA,LC
192586,Conus terebra,gastropoda,NA,LC
192870,Conus arenatus,gastropoda,Sand-dusted Cone,LC
192563,Conus aulicus,gastropoda,NA,LC
192772,Conus geographus,gastropoda,NA,LC
192538,Conus ferrugineus,gastropoda,NA,LC
192378,Conus litoglyphus,gastropoda,NA,LC
192573,Conus magnificus,gastropoda,NA,LC
192580,Conus chaldaeus,gastropoda,NA,LC
192386,Conus leopardus,gastropoda,NA,LC
133652,Leptastrea transversa,anthozoa,NA,LC
133571,Platygyra carnosus,anthozoa,NA,NT
133066,Montipora informis,anthozoa,NA,LC
132936,Favia pallida,anthozoa,NA,LC
133185,Montipora calcarea,anthozoa,NA,VU
133593,Favia stelligera,anthozoa,NA,NT
133510,Favia lizardensis,anthozoa,NA,NT
133258,Plerogyra sinuosa,anthozoa,NA,NT
133055,Favites halicora,anthozoa,NA,NT
133569,Favia favus,anthozoa,Head Coral,LC
133252,Acropora tortuosa,anthozoa,NA,LC
133303,Acropora lutkeni,anthozoa,NA,NT
132979,Favites complanata,anthozoa,NA,NT
133196,Montipora incrassata,anthozoa,NA,NT
133298,Montipora turgescens,anthozoa,NA,LC
133493,Platygyra ryukyuensis,anthozoa,NA,NT
133201,Fungia scutaria,anthozoa,NA,LC
133013,Acropora grandis,anthozoa,NA,LC
133622,Montipora capitata,anthozoa,NA,NT
133440,Platygyra pini,anthozoa,NA,LC
133314,Montipora aequituberculata,anthozoa,NA,LC
133161,Platygyra contorta,anthozoa,NA,LC
133563,Montipora peltiformis,anthozoa,NA,NT
133616,Favia matthaii,anthozoa,NA,NT
133209,Favites pentagona,anthozoa,NA,LC
132997,Montastrea valenciennesi,anthozoa,NA,NT
133319,Acropora horrida,anthozoa,NA,VU
133646,Montipora verrucosa,anthozoa,NA,LC
133003,Leptastrea bewickensis,anthozoa,NA,NT
133525,Montipora monasteriata,anthozoa,NA,LC
133438,Montipora foveolata,anthozoa,NA,NT
133021,Acropora microphthalma,anthozoa,NA,LC
133468,Platygyra daedalea,anthozoa,Brain Coral,LC
133068,Platygyra sinensis,anthozoa,NA,LC
133345,Montipora tuberculosa,anthozoa,NA,LC
133700,Montipora hoffmeisteri,anthozoa,NA,LC
133414,Goniastrea pectinata,anthozoa,NA,LC
133090,Leptastrea purpurea,anthozoa,NA,LC
133278,Leptastrea pruinosa,anthozoa,NA,LC
133290,Favites abdita,anthozoa,NA,NT
133654,Favites chinensis,anthozoa,NA,NT
132922,Montastrea curta,anthozoa,NA,LC
188467,Abudefduf sordidus,actinopterygii,Yellow-banded Sergeant-major,LC
188609,Abudefduf vaigiensis,actinopterygii,Five-banded Sergeant-major,LC
188453,Abudefduf septemfasciatus,actinopterygii,Seven-banded Sergeant-major,LC
188366,Chromis caudalis,actinopterygii,Blue-axil Chromis,LC
61339,Epinephelus polyphekadion,actinopterygii,Camouflage Grouper,VU
44673,Epinephelus fuscoguttatus,actinopterygii,Brown-marbled Grouper,VU
132737,Cephalopholis leopardus,actinopterygii,Leopard Hind,LC
64412,Plectropomus laevis,actinopterygii,Blacksaddled Coral Grouper,LC
132758,Epinephelus tauvina,actinopterygii,Greasy Grouper,DD
132781,Cephalopholis argus,actinopterygii,Peacock Grouper,LC
132766,Epinephelus macrospilos,actinopterygii,Snubnose Grouper,LC
132757,Cephalopholis sonnerati,actinopterygii,Tomato Hind,LC
132778,Epinephelus hexagonatus,actinopterygii,White Speckled Rockcod,LC
132788,Epinephelus merra,actinopterygii,Honeycomb Grouper,LC
132794,Epinephelus retouti,actinopterygii,Red-tipped Grouper,LC
132800,Gracila albomarginata,actinopterygii,Masked Grouper,LC
132783,Cephalopholis urodeta,actinopterygii,Darkfin Hind,LC
132746,Epinephelus melanostigma,actinopterygii,One-blotch Grouper,LC
132747,Epinephelus spilotoceps,actinopterygii,Foursaddle Grouper,LC
